Epoch  0, loss: 0.633, acc: 0.669
Eval epoch  0, loss: 0.593, acc: 0.658
Epoch  1, loss: 0.610, acc: 0.656
Eval epoch  1, loss: 0.630, acc: 0.658
Epoch  2, loss: 0.611, acc: 0.694
Eval epoch  2, loss: 0.566, acc: 0.694
Epoch  3, loss: 0.591, acc: 0.683
Eval epoch  3, loss: 0.567, acc: 0.712
Epoch  4, loss: 0.577, acc: 0.709
Eval epoch  4, loss: 0.592, acc: 0.703
Epoch  5, loss: 0.561, acc: 0.704
Eval epoch  5, loss: 0.619, acc: 0.721
Epoch  6, loss: 0.583, acc: 0.687
Eval epoch  6, loss: 0.580, acc: 0.676
Epoch  7, loss: 0.576, acc: 0.709
Eval epoch  7, loss: 0.562, acc: 0.739
Epoch  8, loss: 0.588, acc: 0.690
Eval epoch  8, loss: 0.571, acc: 0.712
Epoch  9, loss: 0.574, acc: 0.729
Eval epoch  9, loss: 0.576, acc: 0.739
Epoch 10, loss: 0.566, acc: 0.724
Eval epoch 10, loss: 0.557, acc: 0.712
Epoch 11, loss: 0.593, acc: 0.726
Eval epoch 11, loss: 0.608, acc: 0.658
Epoch 12, loss: 0.558, acc: 0.720
Eval epoch 12, loss: 0.567, acc: 0.694
Epoch 13, loss: 0.559, acc: 0.729
Eval epoch 13, loss: 0.588, acc: 0.667
Epoch 14, loss: 0.534, acc: 0.728
Eval epoch 14, loss: 0.562, acc: 0.748
Epoch 15, loss: 0.563, acc: 0.719
Eval epoch 15, loss: 0.573, acc: 0.721
Epoch 16, loss: 0.550, acc: 0.746
Eval epoch 16, loss: 0.574, acc: 0.712
Epoch 17, loss: 0.543, acc: 0.734
Eval epoch 17, loss: 0.559, acc: 0.685
Epoch 18, loss: 0.582, acc: 0.722
Eval epoch 18, loss: 0.569, acc: 0.730
Epoch 19, loss: 0.567, acc: 0.730
Eval epoch 19, loss: 0.582, acc: 0.712
Epoch 20, loss: 0.556, acc: 0.725
Eval epoch 20, loss: 0.578, acc: 0.694
Epoch 21, loss: 0.585, acc: 0.710
Eval epoch 21, loss: 0.578, acc: 0.712
Epoch 22, loss: 0.558, acc: 0.724
Eval epoch 22, loss: 0.564, acc: 0.712
Epoch 23, loss: 0.540, acc: 0.718
Eval epoch 23, loss: 0.574, acc: 0.694
Epoch 24, loss: 0.580, acc: 0.726
Eval epoch 24, loss: 0.575, acc: 0.721
Epoch 25, loss: 0.544, acc: 0.726
Eval epoch 25, loss: 0.587, acc: 0.658
Epoch 26, loss: 0.553, acc: 0.710
Eval epoch 26, loss: 0.595, acc: 0.676
Epoch 27, loss: 0.579, acc: 0.712
Eval epoch 27, loss: 0.596, acc: 0.676
Epoch 28, loss: 0.559, acc: 0.713
Eval epoch 28, loss: 0.596, acc: 0.658
Epoch 29, loss: 0.552, acc: 0.743
Eval epoch 29, loss: 0.567, acc: 0.685
Epoch 30, loss: 0.546, acc: 0.742
Eval epoch 30, loss: 0.565, acc: 0.676
Epoch 31, loss: 0.559, acc: 0.739
Eval epoch 31, loss: 0.571, acc: 0.694
Epoch 32, loss: 0.579, acc: 0.740
Eval epoch 32, loss: 0.580, acc: 0.676
Epoch 33, loss: 0.567, acc: 0.719
Eval epoch 33, loss: 0.566, acc: 0.685
Epoch 34, loss: 0.597, acc: 0.737
Eval epoch 34, loss: 0.585, acc: 0.694
